ml,mAU
0.26,-0.8377571
0.261,-0.8378551
0.262,-0.8373346
0.263,-0.8369315
0.264,-0.8387462
0.265,-0.840804
0.265,-0.8426623
0.266,-0.843868
0.267,-0.8452986
0.268,-0.848001
0.269,-0.8494139
0.27,-0.8522736
0.27,-0.8548833
0.271,-0.8576388
0.272,-0.8613346
0.273,-0.86531
0.274,-0.8688676
0.274,-0.8735317
0.275,-0.877395
0.276,-0.881148
0.277,-0.8839403
0.278,-0.8872544
0.279,-0.8894632
0.279,-0.8929745
0.28,-0.8953173
0.281,-0.8982126
0.282,-0.9010055
0.283,-0.90468
0.284,-0.9069834
0.284,-0.9085888
0.285,-0.91126
0.286,-0.912288
0.287,-0.9146951
0.288,-0.9213337
0.289,-0.9245739
0.289,-0.9287648
0.29,-0.9290537
0.291,-0.9319731
0.292,-0.9343953
0.293,-0.9396233
0.294,-0.9408801
0.294,-0.9418726
0.295,-0.9447111
0.296,-0.9454272
0.297,-0.9490865
0.298,-0.9526268
0.299,-0.9556959
0.299,-0.9584416
0.3,-0.9620407
0.301,-0.9664899
0.302,-0.9697168
0.303,-0.9741196
0.304,-0.9746627
0.304,-0.9794412
0.305,-0.983853
0.306,-0.9875906
0.307,-0.9926785
0.308,-0.9962869
0.309,-0.9981172
0.309,-1.000428
0.31,-1.003123
0.311,-1.008433
0.312,-1.011129
0.313,-1.013143
0.314,-1.013463
0.314,-1.015541
0.315,-1.02067
0.316,-1.022532
0.317,-1.024916
0.318,-1.023371
0.319,-1.024012
0.319,-1.022848
0.32,-1.025863
0.321,-1.027909
0.322,-1.029823
0.323,-1.031965
0.324,-1.034261
0.324,-1.037923
0.325,-1.038139
0.326,-1.039233
0.327,-1.041621
0.328,-1.042991
0.329,-1.044924
0.329,-1.047144
0.33,-1.0486
0.331,-1.049409
0.332,-1.049632
0.333,-1.051382
0.334,-1.053211
0.334,-1.055488
0.335,-1.056583
0.336,-1.056446
0.337,-1.057573
0.338,-1.061012
0.339,-1.065919
0.339,-1.068288
0.34,-1.074385
0.341,-1.07626
0.342,-1.078137
0.343,-1.079708
0.344,-1.083452
0.344,-1.086927
0.345,-1.088913
0.346,-1.093623
0.347,-1.097525
0.348,-1.098375
0.349,-1.102293
0.349,-1.103903
0.35,-1.104274
0.351,-1.108577
0.352,-1.111808
0.353,-1.116099
0.354,-1.117962
0.354,-1.122137
0.355,-1.123814
0.356,-1.12871
0.357,-1.132108
0.358,-1.134865
0.359,-1.136472
0.359,-1.138291
0.36,-1.142923
0.361,-1.145428
0.362,-1.146542
0.363,-1.14879
0.364,-1.150059
0.364,-1.151397
0.365,-1.152427
0.366,-1.156469
0.367,-1.156932
0.368,-1.15719
0.368,-1.157795
0.369,-1.157059
0.37,-1.159813
0.371,-1.162603
0.372,-1.162586
0.373,-1.162426
0.373,-1.16347
0.374,-1.165457
0.375,-1.167205
0.376,-1.168471
0.377,-1.169617
0.378,-1.169596
0.378,-1.172237
0.379,-1.172453
0.38,-1.174395
0.381,-1.174393
0.382,-1.176108
0.383,-1.179537
0.383,-1.180871
0.384,-1.182176
0.385,-1.183027
0.386,-1.182346
0.387,-1.181148
0.388,-1.182854
0.388,-1.186104
0.389,-1.189289
0.39,-1.191356
0.391,-1.191072
0.392,-1.19257
0.393,-1.194636
0.393,-1.19777
0.394,-1.199206
0.395,-1.200855
0.396,-1.200592
0.397,-1.201787
0.398,-1.201457
0.398,-1.202571
0.399,-1.203021
0.4,-1.20427
0.401,-1.205614
0.402,-1.207503
0.403,-1.209535
0.403,-1.208314
0.404,-1.208202
0.405,-1.210116
0.406,-1.210912
0.407,-1.212134
0.408,-1.213271
0.408,-1.214591
0.409,-1.213321
0.41,-1.212907
0.411,-1.213824
0.412,-1.21591
0.413,-1.216364
0.413,-1.216853
0.414,-1.216799
0.415,-1.217748
0.416,-1.216654
0.417,-1.218299
0.418,-1.220022
0.418,-1.220936
0.419,-1.223438
0.42,-1.225146
0.421,-1.225725
0.422,-1.227494
0.423,-1.227333
0.423,-1.226829
0.424,-1.229572
0.425,-1.231233
0.426,-1.231915
0.427,-1.23412
0.428,-1.235249
0.428,-1.237637
0.429,-1.237735
0.43,-1.240472
0.431,-1.240369
0.432,-1.240387
0.433,-1.242103
0.433,-1.243842
0.434,-1.2455
0.435,-1.248514
0.436,-1.248384
0.437,-1.249382
0.438,-1.248727
0.438,-1.248605
0.439,-1.248594
0.44,-1.24914
0.441,-1.248905
0.442,-1.250186
0.443,-1.249679
0.443,-1.252784
0.444,-1.254365
0.445,-1.256321
0.446,-1.25855
0.447,-1.259651
0.448,-1.259421
0.448,-1.261147
0.449,-1.260841
0.45,-1.306178
0.451,-1.35829
0.452,-1.363353
0.453,-1.363695
0.453,-1.364313
0.454,-1.36575
0.455,-1.368638
0.456,-1.36998
0.457,-1.369696
0.458,-1.371371
0.458,-1.373684
0.459,-1.37366
0.46,-1.37436
0.461,-1.37426
0.462,-1.374162
0.462,-1.373327
0.463,-1.374091
0.464,-1.374898
0.465,-1.376981
0.466,-1.378646
0.467,-1.379372
0.467,-1.378433
0.468,-1.376171
0.469,-1.374304
0.47,-1.372853
0.471,-1.371553
0.472,-1.371569
0.472,-1.373266
0.473,-1.372831
0.474,-1.371839
0.475,-1.371065
0.476,-1.370639
0.477,-1.369207
0.477,-1.368823
0.478,-1.36845
0.479,-1.367669
0.48,-1.369292
0.481,-1.370348
0.482,-1.370493
0.482,-1.370218
0.483,-1.371158
0.484,-1.370575
0.485,-1.369826
0.486,-1.368382
0.487,-1.368116
0.487,-1.366636
0.488,-1.364851
0.489,-1.364025
0.49,-1.361619
0.491,-1.358856
0.492,-1.356447
0.492,-1.353514
0.493,-1.350893
0.494,-1.34844
0.495,-1.346956
0.496,-1.343279
0.497,-1.340501
0.497,-1.339159
0.498,-1.338402
0.499,-1.336184
0.5,-1.333521
0.501,-1.332056
0.502,-1.32991
0.502,-1.327742
0.503,-1.32644
0.504,-1.323904
0.505,-1.321147
0.506,-1.320904
0.507,-1.32231
0.507,-1.321088
0.508,-1.321202
0.509,-1.322357
0.51,-1.324103
0.511,-1.327229
0.512,-1.328629
0.512,-1.329415
0.513,-1.331114
0.514,-1.331
0.515,-1.333184
0.516,-1.334705
0.517,-1.338585
0.517,-1.33985
0.518,-1.341004
0.519,-1.3411
0.52,-1.340201
0.521,-1.340386
0.522,-1.34101
0.522,-1.341386
0.523,-1.342598
0.524,-1.341888
0.525,-1.341734
0.526,-1.343526
0.527,-1.343794
0.527,-1.344086
0.528,-1.34537
0.529,-1.34421
0.53,-1.345239
0.531,-1.343775
0.532,-1.344226
0.532,-1.345148
0.533,-1.345786
0.534,-1.345943
0.535,-1.347587
0.536,-1.345513
0.537,-1.345001
0.537,-1.34381
0.538,-1.344901
0.539,-1.346082
0.54,-1.345698
0.541,-1.347836
0.542,-1.348316
0.542,-1.344026
0.543,-1.343641
0.544,-1.341295
0.545,-1.34179
0.546,-1.341374
0.547,-1.340974
0.547,-1.339674
0.548,-1.338996
0.549,-1.336917
0.55,-1.33692
0.551,-1.337071
0.552,-1.338537
0.552,-1.338261
0.553,-1.339614
0.554,-1.339261
0.555,-1.338831
0.556,-1.337669
0.556,-1.340045
0.557,-1.338794
0.558,-1.337019
0.559,-1.335511
0.56,-1.334855
0.561,-1.33518
0.561,-1.333388
0.562,-1.333686
0.563,-1.336501
0.564,-1.336559
0.565,-1.341694
0.566,-1.344156
0.566,-1.347098
0.567,-1.347657
0.568,-1.350018
0.569,-1.349991
0.57,-1.353078
0.571,-1.353722
0.571,-1.352764
0.572,-1.353046
0.573,-1.35224
0.574,-1.351341
0.575,-1.352621
0.576,-1.35485
0.576,-1.356709
0.577,-1.355706
0.578,-1.356399
0.579,-1.357582
0.58,-1.358479
0.581,-1.358982
0.581,-1.359611
0.582,-1.362088
0.583,-1.36312
0.584,-1.363219
0.585,-1.36393
0.586,-1.361901
0.586,-1.360272
0.587,-1.359544
0.588,-1.361179
0.589,-1.362464
0.59,-1.362719
0.591,-1.361912
0.591,-1.363582
0.592,-1.36424
0.593,-1.363792
0.594,-1.36422
0.595,-1.364488
0.596,-1.364173
0.596,-1.363666
0.597,-1.363446
0.598,-1.365342
0.599,-1.366345
0.6,-1.368219
0.601,-1.369647
0.601,-1.371359
0.602,-1.373013
0.603,-1.373319
0.604,-1.372136
0.605,-1.37234
0.606,-1.371411
0.606,-1.370967
0.607,-1.373075
0.608,-1.375359
0.609,-1.375588
0.61,-1.374012
0.611,-1.372786
0.611,-1.373188
0.612,-1.373777
0.613,-1.375636
0.614,-1.378049
0.615,-1.379648
0.616,-1.379088
0.616,-1.379076
0.617,-1.380578
0.618,-1.380072
0.619,-1.380018
0.62,-1.380684
0.621,-1.380965
0.621,-1.380786
0.622,-1.3779
0.623,-1.376953
0.624,-1.376793
0.625,-1.378301
0.626,-1.380953
0.626,-1.382501
0.627,-1.381542
0.628,-1.381968
0.629,-1.380314
0.63,-1.381535
0.631,-1.381562
0.631,-1.381298
0.632,-1.380259
0.633,-1.380188
0.634,-1.377389
0.635,-1.373849
0.636,-1.371805
0.636,-1.371592
0.637,-1.370932
0.638,-1.369876
0.639,-1.369285
0.64,-1.366545
0.641,-1.364029
0.641,-1.361088
0.642,-1.357903
0.643,-1.355596
0.644,-1.351948
0.645,-1.348762
0.646,-1.34247
0.646,-1.336445
0.647,-1.331191
0.648,-1.326786
0.649,-1.320235
0.65,-1.310732
0.65,-1.300368
0.651,-1.292831
0.652,-1.286105
0.653,-1.277088
0.654,-1.267602
0.655,-1.260932
0.655,-1.252152
0.656,-1.24363
0.657,-1.232056
0.658,-1.221879
0.659,-1.209989
0.66,-1.197275
0.66,-1.186908
0.661,-1.176096
0.662,-1.164827
0.663,-1.153747
0.664,-1.143415
0.665,-1.131674
0.665,-1.118938
0.666,-1.108667
0.667,-1.097001
0.668,-1.087003
0.669,-1.073682
0.67,-1.057456
0.67,-1.045152
0.671,-1.035969
0.672,-1.025995
0.673,-1.017742
0.674,-1.009533
0.675,-1.000881
0.675,-0.9915579
0.676,-0.9847713
0.677,-0.9761292
0.678,-0.9703172
0.679,-0.9648342
0.68,-0.9590993
0.68,-0.9551197
0.681,-0.9490662
0.682,-0.9441614
0.683,-0.9395609
0.684,-0.9342562
0.685,-0.929786
0.685,-0.9282435
0.686,-0.9270169
0.687,-0.9245164
0.688,-0.922998
0.689,-0.919758
0.69,-0.9215131
0.69,-0.9248059
0.691,-0.9279165
0.692,-0.9283397
0.693,-0.9286432
0.694,-0.9269142
0.695,-0.9260544
0.695,-0.9255037
0.696,-0.9247298
0.697,-0.9240652
0.698,-0.9258579
0.699,-0.9259918
0.7,-0.9268106
0.7,-0.9281101
0.701,-0.9292918
0.702,-0.9298944
0.703,-0.9303904
0.704,-0.931324
0.705,-0.9328479
0.705,-0.9329424
0.706,-0.93214
0.707,-0.9305316
0.708,-0.9300917
0.709,-0.9310511
0.71,-0.9317735
0.71,-0.9316331
0.711,-0.9319271
0.712,-0.9314119
0.713,-0.9309109
0.714,-0.9315545
0.715,-0.9317945
0.715,-0.9316549
0.716,-0.9325404
0.717,-0.9347576
0.718,-0.9353037
0.719,-0.9341029
0.72,-0.9338211
0.72,-0.934738
0.721,-0.9358829
0.722,-0.9359829
0.723,-0.9353865
0.724,-0.9351824
0.725,-0.9347948
0.725,-0.9352816
0.726,-0.9380146
0.727,-0.940444
0.728,-0.9446201
0.729,-0.948778
0.73,-0.951851
0.73,-0.9546768
0.731,-0.9558523
0.732,-0.9573286
0.733,-0.9607804
0.734,-0.9641344
0.735,-0.9670529
0.735,-0.970388
0.736,-0.9737003
0.737,-0.9768413
0.738,-0.9796091
0.739,-0.9819082
0.74,-0.9864898
0.74,-0.9900343
0.741,-0.9910302
0.742,-0.9936144
0.743,-0.9972098
0.744,-1.001993
0.744,-1.006549
0.745,-1.01157
0.746,-1.014891
0.747,-1.016867
0.748,-1.018245
0.749,-1.018712
0.749,-1.021005
0.75,-1.022886
0.751,-1.024486
0.752,-1.027052
0.753,-1.030555
0.754,-1.032768
0.754,-1.03483
0.755,-1.035691
0.756,-1.036988
0.757,-1.039938
0.758,-1.040711
0.759,-1.041791
0.759,-1.044021
0.76,-1.045411
0.761,-1.048163
0.762,-1.052571
0.763,-1.055292
0.764,-1.057664
0.764,-1.060083
0.765,-1.061927
0.766,-1.063838
0.767,-1.066709
0.768,-1.069019
0.769,-1.071778
0.769,-1.07563
0.77,-1.077459
0.771,-1.079247
0.772,-1.081438
0.773,-1.084581
0.774,-1.087636
0.774,-1.088763
0.775,-1.091064
0.776,-1.094877
0.777,-1.098778
0.778,-1.100843
0.779,-1.103707
0.779,-1.107992
0.78,-1.112921
0.781,-1.118051
0.782,-1.121466
0.783,-1.124554
0.784,-1.127262
0.784,-1.129863
0.785,-1.132069
0.786,-1.134568
0.787,-1.136459
0.788,-1.138334
0.789,-1.142559
0.789,-1.145702
0.79,-1.147978
0.791,-1.150191
0.792,-1.152322
0.793,-1.156187
0.794,-1.158455
0.794,-1.160345
0.795,-1.163216
0.796,-1.164885
0.797,-1.166403
0.798,-1.169101
0.799,-1.173566
0.799,-1.176302
0.8,-1.177549
0.801,-1.17871
0.802,-1.180207
0.803,-1.183508
0.804,-1.184448
0.804,-1.185213
0.805,-1.187745
0.806,-1.189397
0.807,-1.191007
0.808,-1.193086
0.809,-1.19446
0.809,-1.195045
0.81,-1.196107
0.811,-1.198471
0.812,-1.202034
0.813,-1.20491
0.814,-1.206369
0.814,-1.208637
0.815,-1.211271
0.816,-1.21388
0.817,-1.216684
0.818,-1.217782
0.819,-1.217217
0.819,-1.217054
0.82,-1.21884
0.821,-1.220831
0.822,-1.221595
0.823,-1.223016
0.824,-1.224287
0.824,-1.225479
0.825,-1.228173
0.826,-1.22946
0.827,-1.230072
0.828,-1.23037
0.829,-1.23056
0.829,-1.231217
0.83,-1.232376
0.831,-1.234764
0.832,-1.236179
0.833,-1.236526
0.834,-1.237696
0.834,-1.238482
0.835,-1.238135
0.836,-1.237027
0.837,-1.236647
0.838,-1.237209
0.838,-1.238689
0.839,-1.241516
0.84,-1.243037
0.841,-1.243935
0.842,-1.24582
0.843,-1.247962
0.843,-1.249941
0.844,-1.251166
0.845,-1.25245
0.846,-1.252808
0.847,-1.252958
0.848,-1.255603
0.848,-1.258645
0.849,-1.260296
0.85,-1.262297
0.851,-1.263928
0.852,-1.26478
0.853,-1.266239
0.853,-1.267636
0.854,-1.269044
0.855,-1.271453
0.856,-1.273875
0.857,-1.276959
0.858,-1.27964
0.858,-1.282595
0.859,-1.28524
0.86,-1.286306
0.861,-1.28771
0.862,-1.28797
0.863,-1.288523
0.863,-1.289046
0.864,-1.287868
0.865,-1.288202
0.866,-1.289364
0.867,-1.290699
0.868,-1.291542
0.868,-1.292273
0.869,-1.293927
0.87,-1.296245
0.871,-1.298468
0.872,-1.299616
0.873,-1.300069
0.873,-1.30059
0.874,-1.300013
0.875,-1.300912
0.876,-1.300504
0.877,-1.303102
0.878,-1.305095
0.878,-1.305886
0.879,-1.306685
0.88,-1.305571
0.881,-1.306065
0.882,-1.30698
0.883,-1.30844
0.883,-1.309724
0.884,-1.31032
0.885,-1.312804
0.886,-1.317612
0.887,-1.32449
0.888,-1.321274
0.888,-1.319956
0.889,-1.320298
0.89,-1.322289
0.891,-1.3225
0.892,-1.321444
0.893,-1.322464
0.893,-1.322914
0.894,-1.322066
0.895,-1.321794
0.896,-1.321867
0.897,-1.319649
0.898,-1.318092
0.898,-1.318826
0.899,-1.320391
0.9,-1.321388
0.901,-1.321003
0.902,-1.320325
0.903,-1.319795
0.903,-1.318412
0.904,-1.32047
0.905,-1.321241
0.906,-1.320982
0.907,-1.322675
0.908,-1.325282
0.908,-1.325674
0.909,-1.32625
0.91,-1.326058
0.911,-1.324629
0.912,-1.325539
0.913,-1.326184
0.913,-1.325373
0.914,-1.324418
0.915,-1.32328
0.916,-1.319368
0.917,-1.318005
0.918,-1.319041
0.918,-1.317349
0.919,-1.317768
0.92,-1.315735
0.921,-1.315251
0.922,-1.315854
0.923,-1.316096
0.923,-1.315954
0.924,-1.317596
0.925,-1.319155
0.926,-1.320024
0.927,-1.32298
0.928,-1.323354
0.928,-1.323719
0.929,-1.327241
0.93,-1.329563
0.931,-1.330442
0.932,-1.332325
0.932,-1.335269
0.933,-1.336402
0.934,-1.337782
0.935,-1.339334
0.936,-1.340725
0.937,-1.344806
0.937,-1.345582
0.938,-1.346633
0.939,-1.350146
0.94,-1.352023
0.941,-1.35448
0.942,-1.356432
0.942,-1.356445
0.943,-1.357706
0.944,-1.359002
0.945,-1.361156
0.946,-1.361019
0.947,-1.36066
0.947,-1.359806
0.948,-1.359976
0.949,-1.36056
0.95,-1.35945
0.951,-1.358084
0.952,-1.359076
0.952,-1.359929
0.953,-1.358394
0.954,-1.357802
0.955,-1.35824
0.956,-1.358245
0.957,-1.36
0.957,-1.358836
0.958,-1.358513
0.959,-1.358478
0.96,-1.359902
0.961,-1.360328
0.962,-1.361455
0.962,-1.362306
0.963,-1.363587
0.964,-1.364673
0.965,-1.364793
0.966,-1.365005
0.967,-1.364207
0.967,-1.365442
0.968,-1.364612
0.969,-1.364287
0.97,-1.365927
0.971,-1.367738
0.972,-1.36841
0.972,-1.368498
0.973,-1.368285
0.974,-1.368141
0.975,-1.36828
0.976,-1.367679
0.977,-1.367362
0.977,-1.368031
0.978,-1.369742
0.979,-1.370934
0.98,-1.372198
0.981,-1.371228
0.982,-1.370447
0.982,-1.368763
0.983,-1.366546
0.984,-1.364889
0.985,-1.362786
0.986,-1.361439
0.987,-1.36019
0.987,-1.360125
0.988,-1.360284
0.989,-1.361059
0.99,-1.360797
0.991,-1.360223
0.992,-1.359098
0.992,-1.358169
0.993,-1.356918
0.994,-1.355325
0.995,-1.356073
0.996,-1.355699
0.997,-1.356704
0.997,-1.357783
0.998,-1.358319
0.999,-1.358203
1,-1.359362
1.001,-1.359413
1.002,-1.361046
1.002,-1.361642
1.003,-1.362474
1.004,-1.364553
1.005,-1.365475
1.006,-1.36589
1.007,-1.366896
1.007,-1.366629
1.008,-1.36589
1.009,-1.364495
1.01,-1.365023
1.011,-1.366168
1.012,-1.364727
1.012,-1.36441
1.013,-1.364315
1.014,-1.365192
