ml,mAU
4.257,-1.49593
4.257,-1.49638
4.258,-1.497474
4.259,-1.496052
4.26,-1.495664
4.261,-1.496908
4.262,-1.49638
4.262,-1.497823
4.263,-1.499478
4.264,-1.498999
4.265,-1.498043
4.266,-1.496655
4.267,-1.497004
4.267,-1.495284
4.268,-1.495743
4.269,-1.496362
4.27,-1.493577
4.271,-1.491761
4.272,-1.493132
4.272,-1.493186
4.273,-1.492164
4.274,-1.493506
4.275,-1.493138
4.276,-1.494138
4.277,-1.494796
4.277,-1.491711
4.278,-1.492129
4.279,-1.49376
4.28,-1.496346
4.281,-1.495233
4.282,-1.49365
4.282,-1.493172
4.283,-1.493475
4.284,-1.492809
4.285,-1.49393
4.286,-1.493852
4.287,-1.495836
4.287,-1.495737
4.288,-1.496258
4.289,-1.496452
4.29,-1.497532
4.291,-1.498281
4.292,-1.499083
4.292,-1.499792
4.293,-1.500433
4.294,-1.501617
4.295,-1.500688
4.296,-1.49889
4.297,-1.497852
4.297,-1.498599
4.298,-1.501021
4.299,-1.499711
4.3,-1.497595
4.301,-1.495386
4.301,-1.495656
4.302,-1.497242
4.303,-1.498877
4.304,-1.498262
4.305,-1.497237
4.306,-1.496978
4.306,-1.496599
4.307,-1.494408
4.308,-1.493125
4.309,-1.494775
4.31,-1.49679
4.311,-1.496067
4.311,-1.495446
4.312,-1.496751
4.313,-1.49753
4.314,-1.496909
4.315,-1.496282
4.316,-1.497285
4.316,-1.498779
4.317,-1.499629
4.318,-1.497138
4.319,-1.495678
4.32,-1.497108
4.321,-1.496839
4.321,-1.497129
4.322,-1.496894
4.323,-1.494452
4.324,-1.495368
4.325,-1.495458
4.326,-1.496078
4.326,-1.496166
4.327,-1.495692
4.328,-1.497504
4.329,-1.498167
4.33,-1.497065
4.331,-1.493564
4.331,-1.492572
4.332,-1.493554
4.333,-1.492715
4.334,-1.492528
4.335,-1.491952
4.336,-1.492936
4.336,-1.493174
4.337,-1.490817
4.338,-1.490549
4.339,-1.492332
4.34,-1.494417
4.341,-1.493715
4.341,-1.494454
4.342,-1.493786
4.343,-1.494489
4.344,-1.495841
4.345,-1.493397
4.346,-1.493322
4.346,-1.494061
4.347,-1.493854
4.348,-1.494085
4.349,-1.494562
4.35,-1.494571
4.351,-1.494087
4.351,-1.495537
4.352,-1.497895
4.353,-1.499248
4.354,-1.49907
4.355,-1.49795
4.356,-1.497949
4.356,-1.496005
4.357,-1.493615
4.358,-1.494713
4.359,-1.49478
4.36,-1.49447
4.361,-1.493583
4.361,-1.493157
4.362,-1.492998
4.363,-1.493193
4.364,-1.492757
4.365,-1.494039
4.366,-1.496492
4.366,-1.496216
4.367,-1.49513
4.368,-1.494107
4.369,-1.49202
4.37,-1.490127
4.371,-1.49
4.371,-1.490007
4.372,-1.489311
4.373,-1.487377
4.374,-1.486845
4.375,-1.485652
4.376,-1.484658
4.376,-1.485284
4.377,-1.486658
4.378,-1.486689
4.379,-1.486645
4.38,-1.486894
4.381,-1.486857
4.381,-1.486931
4.382,-1.48673
4.383,-1.485914
4.384,-1.487283
4.385,-1.487872
4.386,-1.4858
4.386,-1.485417
4.387,-1.485794
4.388,-1.48669
4.389,-1.487912
4.39,-1.489783
4.391,-1.489598
4.391,-1.48945
4.392,-1.489158
4.393,-1.489731
4.394,-1.48957
4.395,-1.489381
4.395,-1.491459
4.396,-1.492809
4.397,-1.492419
4.398,-1.492975
4.399,-1.493691
4.4,-1.493822
4.4,-1.493443
4.401,-1.493647
4.402,-1.493207
4.403,-1.492484
4.404,-1.492523
4.405,-1.491756
4.405,-1.492306
4.406,-1.493556
4.407,-1.492749
4.408,-1.491547
4.409,-1.491701
4.41,-1.492353
4.41,-1.491779
4.411,-1.492597
4.412,-1.492678
4.413,-1.492349
4.414,-1.492927
4.415,-1.492439
4.415,-1.491673
4.416,-1.490754
4.417,-1.490895
4.418,-1.491962
4.419,-1.492586
4.42,-1.493548
4.42,-1.494438
4.421,-1.495504
4.422,-1.496172
4.423,-1.497151
4.424,-1.497735
4.425,-1.498451
4.425,-1.499661
4.426,-1.49882
4.427,-1.498329
4.428,-1.499006
4.429,-1.499509
4.43,-1.49876
4.43,-1.498115
4.431,-1.498589
4.432,-1.4988
4.433,-1.498991
4.434,-1.498444
4.435,-1.496417
4.435,-1.497344
4.436,-1.497912
4.437,-1.497569
4.438,-1.496686
4.439,-1.495627
4.44,-1.496305
4.44,-1.497016
4.441,-1.496736
4.442,-1.49619
4.443,-1.496366
4.444,-1.497562
4.445,-1.498927
4.445,-1.499282
4.446,-1.497619
4.447,-1.49672
4.448,-1.496591
4.449,-1.49697
4.45,-1.499422
4.45,-1.501019
4.451,-1.500495
4.452,-1.500441
4.453,-1.501264
4.454,-1.501392
4.455,-1.501686
4.455,-1.502792
4.456,-1.50246
4.457,-1.501556
4.458,-1.501971
4.459,-1.501461
4.46,-1.499892
4.46,-1.498108
4.461,-1.497234
4.462,-1.49696
4.463,-1.496792
4.464,-1.495845
4.465,-1.493414
4.465,-1.491346
4.466,-1.491095
4.467,-1.49195
4.468,-1.49248
4.469,-1.492884
4.47,-1.493463
4.47,-1.492085
4.471,-1.4901
4.472,-1.489899
4.473,-1.489865
4.474,-1.488716
4.475,-1.487914
4.475,-1.487646
4.476,-1.486952
4.477,-1.487425
4.478,-1.487754
4.479,-1.487959
4.48,-1.489153
4.48,-1.490376
4.481,-1.490849
4.482,-1.491092
4.483,-1.490615
4.484,-1.490009
4.484,-1.490007
4.485,-1.491013
4.486,-1.492767
4.487,-1.492672
4.488,-1.491544
4.489,-1.491227
4.489,-1.491189
4.49,-1.490968
4.491,-1.490993
4.492,-1.490777
4.493,-1.490217
4.494,-1.48995
4.494,-1.489943
4.495,-1.490212
4.496,-1.490767
4.497,-1.49089
4.498,-1.490798
4.499,-1.490736
4.499,-1.490646
4.5,-1.490123
4.501,-1.48966
4.502,-1.488611
4.503,-1.487043
4.504,-1.486807
4.504,-1.485837
4.505,-1.485352
4.506,-1.486313
4.507,-1.485609
4.508,-1.486406
4.509,-1.486965
4.509,-1.48736
4.51,-1.48763
4.511,-1.487715
4.512,-1.488785
4.513,-1.489311
4.514,-1.489774
4.514,-1.490128
4.515,-1.49003
4.516,-1.490402
4.517,-1.491175
4.518,-1.492152
4.519,-1.493338
4.519,-1.493352
4.52,-1.493449
4.521,-1.493104
4.522,-1.494743
4.523,-1.496354
4.524,-1.497589
4.524,-1.499191
4.525,-1.500709
4.526,-1.501683
4.527,-1.500733
4.528,-1.499829
4.529,-1.498533
4.529,-1.498268
4.53,-1.497677
4.531,-1.496537
4.532,-1.49498
4.533,-1.493092
4.534,-1.492281
4.534,-1.491156
4.535,-1.490458
4.536,-1.490319
4.537,-1.490039
4.538,-1.489306
4.539,-1.487626
4.539,-1.485674
4.54,-1.485076
4.541,-1.483524
4.542,-1.483557
4.543,-1.483506
4.544,-1.48277
4.544,-1.482076
4.545,-1.480596
4.546,-1.480526
4.547,-1.480501
4.548,-1.481335
4.549,-1.481591
4.549,-1.482156
4.55,-1.483046
4.551,-1.48423
4.552,-1.485881
4.553,-1.486727
4.554,-1.487854
4.554,-1.488397
4.555,-1.489657
4.556,-1.491154
4.557,-1.491145
4.558,-1.490152
4.559,-1.489192
4.559,-1.48866
4.56,-1.48906
4.561,-1.488332
4.562,-1.489567
4.563,-1.490413
4.564,-1.489392
4.564,-1.490503
4.565,-1.490309
4.566,-1.491076
4.567,-1.490117
4.568,-1.490366
4.569,-1.489944
4.569,-1.490491
4.57,-1.490488
4.571,-1.488497
4.572,-1.488161
4.573,-1.487109
4.574,-1.486914
4.574,-1.485033
4.575,-1.484358
4.576,-1.485372
4.577,-1.484491
4.578,-1.484223
4.578,-1.486441
4.579,-1.487579
4.58,-1.489098
4.581,-1.489124
4.582,-1.490944
4.583,-1.492272
4.583,-1.491367
4.584,-1.490574
4.585,-1.48899
4.586,-1.489088
4.587,-1.489431
4.588,-1.490368
4.588,-1.490111
4.589,-1.489046
4.59,-1.487988
4.591,-1.487657
4.592,-1.489198
4.593,-1.489622
4.593,-1.488335
4.594,-1.487704
4.595,-1.48915
4.596,-1.489391
4.597,-1.488408
4.598,-1.488369
4.598,-1.488642
4.599,-1.487829
4.6,-1.487357
4.601,-1.488235
4.602,-1.489225
4.603,-1.487091
4.603,-1.485247
4.604,-1.48689
4.605,-1.486947
4.606,-1.486773
4.607,-1.486407
4.608,-1.487072
4.608,-1.487479
4.609,-1.487447
4.61,-1.487265
4.611,-1.487213
4.612,-1.48911
4.613,-1.487667
4.613,-1.487937
4.614,-1.488225
4.615,-1.491475
4.616,-1.491399
4.617,-1.491682
4.618,-1.490257
4.618,-1.489962
4.619,-1.48973
4.62,-1.48938
4.621,-1.490403
4.622,-1.489066
4.623,-1.489066
4.623,-1.489375
4.624,-1.491621
4.625,-1.490834
4.626,-1.491803
4.627,-1.494168
4.628,-1.494753
4.628,-1.493807
4.629,-1.493267
4.63,-1.492611
4.631,-1.493376
4.632,-1.494666
4.633,-1.491538
4.633,-1.492688
4.634,-1.492443
4.635,-1.492681
4.636,-1.490555
4.637,-1.489128
4.638,-1.488964
4.638,-1.489539
4.639,-1.488618
4.64,-1.488301
4.641,-1.486898
4.642,-1.486696
4.643,-1.486769
4.643,-1.486573
4.644,-1.488378
4.645,-1.488206
4.646,-1.486845
4.647,-1.484751
4.648,-1.483207
4.648,-1.483782
4.649,-1.48392
4.65,-1.483247
4.651,-1.483798
4.652,-1.483706
4.653,-1.48391
4.653,-1.484833
4.654,-1.48485
4.655,-1.484246
4.656,-1.484347
4.657,-1.484322
4.658,-1.485035
4.658,-1.485294
4.659,-1.486398
4.66,-1.48805
4.661,-1.489078
4.662,-1.489767
4.663,-1.48979
4.663,-1.490123
4.664,-1.490666
4.665,-1.489059
4.666,-1.488961
4.667,-1.490636
4.668,-1.491825
4.668,-1.493289
4.669,-1.491765
4.67,-1.490789
4.671,-1.490953
4.672,-1.489851
4.672,-1.49084
4.673,-1.490909
4.674,-1.490687
4.675,-1.489171
4.676,-1.488736
4.677,-1.489612
4.677,-1.489954
4.678,-1.491264
4.679,-1.492767
4.68,-1.493238
4.681,-1.493045
4.682,-1.492295
4.682,-1.490163
4.683,-1.490664
4.684,-1.490666
4.685,-1.491839
4.686,-1.491924
4.687,-1.490551
4.687,-1.489345
4.688,-1.488684
4.689,-1.48962
4.69,-1.491537
4.691,-1.492782
4.692,-1.492719
4.692,-1.495557
4.693,-1.493637
4.694,-1.49423
4.695,-1.494536
4.696,-1.493992
4.697,-1.493894
4.697,-1.492752
4.698,-1.492779
4.699,-1.492263
4.7,-1.489777
4.701,-1.488742
4.702,-1.48682
4.702,-1.486564
4.703,-1.488149
4.704,-1.488708
4.705,-1.489533
4.706,-1.487053
4.707,-1.487526
4.707,-1.488664
4.708,-1.488677
4.709,-1.489284
4.71,-1.485964
4.711,-1.483271
4.712,-1.481858
4.712,-1.483371
4.713,-1.482348
4.714,-1.483396
4.715,-1.481364
4.716,-1.482161
4.717,-1.483147
4.717,-1.483413
4.718,-1.483837
4.719,-1.482767
4.72,-1.483418
4.721,-1.486071
4.722,-1.486102
4.722,-1.486487
4.723,-1.485596
4.724,-1.484686
4.725,-1.48417
4.726,-1.483001
4.727,-1.483569
4.727,-1.483791
4.728,-1.484572
4.729,-1.485079
4.73,-1.484979
4.731,-1.486763
4.732,-1.486448
4.732,-1.487729
4.733,-1.486703
4.734,-1.485966
4.735,-1.485293
4.736,-1.486522
4.737,-1.485263
4.737,-1.484112
4.738,-1.485948
4.739,-1.484123
4.74,-1.484396
4.741,-1.483576
4.742,-1.481661
4.742,-1.481385
4.743,-1.482517
4.744,-1.484453
4.745,-1.483208
4.746,-1.481143
4.747,-1.481592
4.747,-1.480739
4.748,-1.481384
4.749,-1.480058
4.75,-1.480285
4.751,-1.479484
4.752,-1.477996
4.752,-1.479518
4.753,-1.479457
4.754,-1.477732
4.755,-1.47815
4.756,-1.477702
4.757,-1.476817
4.757,-1.477785
4.758,-1.477999
4.759,-1.475311
4.76,-1.476212
4.761,-1.475789
4.762,-1.475959
4.762,-1.47572
4.763,-1.476701
4.764,-1.475836
4.765,-1.474696
4.766,-1.475277
4.766,-1.475428
4.767,-1.476504
4.768,-1.477431
4.769,-1.475664
4.77,-1.474383
4.771,-1.473439
4.771,-1.476175
4.772,-1.476032
4.773,-1.475242
4.774,-1.47592
4.775,-1.478946
4.776,-1.478908
4.776,-1.479655
4.777,-1.479981
4.778,-1.479706
4.779,-1.480906
4.78,-1.482113
4.781,-1.482248
4.781,-1.483179
4.782,-1.481853
4.783,-1.482045
4.784,-1.481687
4.785,-1.481828
4.786,-1.482341
4.786,-1.484288
4.787,-1.485418
4.788,-1.483963
4.789,-1.482666
4.79,-1.483839
4.791,-1.485126
4.791,-1.485299
4.792,-1.482848
4.793,-1.482869
4.794,-1.483663
4.795,-1.482091
4.796,-1.478656
4.796,-1.478653
4.797,-1.477479
4.798,-1.477668
4.799,-1.476928
4.8,-1.475374
4.801,-1.47538
4.801,-1.477087
4.802,-1.476578
4.803,-1.4761
4.804,-1.475438
4.805,-1.475072
4.806,-1.4768
4.806,-1.477718
4.807,-1.477383
4.808,-1.477496
4.809,-1.478407
4.81,-1.479581
4.811,-1.479372
4.811,-1.479622
4.812,-1.481063
4.813,-1.481501
4.814,-1.481447
4.815,-1.481695
4.816,-1.481521
4.816,-1.482866
4.817,-1.483037
4.818,-1.484551
4.819,-1.48574
4.82,-1.487458
4.821,-1.488134
4.821,-1.488606
4.822,-1.488179
4.823,-1.489915
4.824,-1.491057
4.825,-1.491196
4.826,-1.49043
4.826,-1.489172
4.827,-1.488413
4.828,-1.488892
4.829,-1.489256
4.83,-1.488104
4.831,-1.488159
4.831,-1.48876
4.832,-1.490032
4.833,-1.489385
4.834,-1.4884
4.835,-1.48835
4.836,-1.488614
4.836,-1.489616
4.837,-1.49051
4.838,-1.490201
4.839,-1.48949
4.84,-1.489542
4.841,-1.488413
4.841,-1.488239
4.842,-1.488054
4.843,-1.48833
4.844,-1.487351
4.845,-1.488155
4.846,-1.489606
4.846,-1.491984
4.847,-1.492631
4.848,-1.492109
4.849,-1.492598
4.85,-1.492795
4.851,-1.493761
4.851,-1.494475
4.852,-1.495357
4.853,-1.49415
4.854,-1.494036
4.855,-1.493706
4.856,-1.49321
4.856,-1.49324
4.857,-1.493634
4.858,-1.49401
4.859,-1.495515
4.86,-1.495089
4.86,-1.49409
4.861,-1.49384
4.862,-1.493369
4.863,-1.493519
4.864,-1.493253
4.865,-1.492486
4.865,-1.49237
4.866,-1.491738
4.867,-1.490862
4.868,-1.490885
4.869,-1.491626
4.87,-1.49136
4.87,-1.490652
4.871,-1.490227
4.872,-1.488064
4.873,-1.485309
4.874,-1.485207
4.875,-1.485634
4.875,-1.488172
4.876,-1.489634
4.877,-1.489624
4.878,-1.490153
4.879,-1.489641
4.88,-1.488521
4.88,-1.488192
4.881,-1.48852
4.882,-1.48852
4.883,-1.489116
4.884,-1.489186
4.885,-1.489061
4.885,-1.490388
4.886,-1.490732
4.887,-1.490747
4.888,-1.490795
4.889,-1.490433
4.89,-1.489069
4.89,-1.48827
4.891,-1.48856
4.892,-1.487859
4.893,-1.488715
4.894,-1.490817
4.895,-1.491383
4.895,-1.491317
4.896,-1.49059
4.897,-1.489696
4.898,-1.489678
4.899,-1.489457
4.9,-1.488981
4.9,-1.488486
4.901,-1.487839
4.902,-1.487697
4.903,-1.488981
4.904,-1.489165
4.905,-1.489537
4.905,-1.489037
4.906,-1.4891
4.907,-1.489895
4.908,-1.489798
4.909,-1.489876
4.91,-1.490132
4.91,-1.49183
4.911,-1.493209
4.912,-1.494219
4.913,-1.495728
4.914,-1.494876
4.915,-1.493678
4.915,-1.492929
4.916,-1.49255
4.917,-1.493403
4.918,-1.493728
4.919,-1.493697
4.92,-1.493737
4.92,-1.492986
4.921,-1.492415
4.922,-1.492058
4.923,-1.489944
4.924,-1.488429
4.925,-1.488678
4.925,-1.488322
4.926,-1.488094
4.927,-1.48765
4.928,-1.487369
4.929,-1.486045
4.93,-1.485845
4.93,-1.48656
4.931,-1.486873
4.932,-1.485404
4.933,-1.483765
4.934,-1.482575
4.935,-1.481362
4.935,-1.481081
4.936,-1.481826
4.937,-1.482388
4.938,-1.481566
4.939,-1.481376
4.94,-1.482113
4.94,-1.482128
4.941,-1.482516
4.942,-1.48384
4.943,-1.485773
4.944,-1.488128
4.945,-1.48972
4.945,-1.489497
4.946,-1.488806
4.947,-1.488644
4.948,-1.487337
4.949,-1.486261
4.95,-1.487277
4.95,-1.489467
4.951,-1.49022
4.952,-1.489205
4.953,-1.489068
4.954,-1.489713
4.954,-1.490211
4.955,-1.491606
4.956,-1.492257
4.957,-1.491144
4.958,-1.490709
4.959,-1.491089
4.959,-1.491056
4.96,-1.490625
4.961,-1.489989
4.962,-1.490026
4.963,-1.490965
4.964,-1.491271
4.964,-1.491646
4.965,-1.491966
4.966,-1.492999
4.967,-1.494169
4.968,-1.494373
4.969,-1.49496
4.969,-1.494366
4.97,-1.493779
4.971,-1.493192
4.972,-1.493222
4.973,-1.493826
4.974,-1.493375
4.974,-1.494059
4.975,-1.495438
4.976,-1.494017
4.977,-1.493927
4.978,-1.495947
4.979,-1.497439
4.979,-1.497347
4.98,-1.496878
4.981,-1.49675
4.982,-1.496791
4.983,-1.496656
4.984,-1.495591
4.984,-1.494793
4.985,-1.4946
4.986,-1.494255
4.987,-1.493061
4.988,-1.491324
4.989,-1.491473
4.989,-1.493148
4.99,-1.49468
4.991,-1.495789
4.992,-1.492938
4.993,-1.491275
4.994,-1.492
4.994,-1.493916
4.995,-1.494604
4.996,-1.494962
4.997,-1.497376
4.998,-1.49819
4.999,-1.4961
4.999,-1.495811
5,-1.496078
5.001,-1.496804
5.002,-1.497051
5.003,-1.496935
5.004,-1.496875
5.004,-1.497184
5.005,-1.498585
5.006,-1.498374
5.007,-1.497316
5.008,-1.496561
5.009,-1.497152
5.009,-1.497326
5.01,-1.497192
5.011,-1.497955
5.012,-1.498999
5.013,-1.500282
5.014,-1.499437
5.014,-1.497191
5.015,-1.495168
5.016,-1.494004
5.017,-1.491904
5.018,-1.490034
5.019,-1.490376
5.019,-1.491899
5.02,-1.492447
5.021,-1.492328
5.022,-1.491625
5.023,-1.490689
5.024,-1.490134
5.024,-1.489182
5.025,-1.48815
5.026,-1.486505
5.027,-1.485366
5.028,-1.485298
5.029,-1.486566
5.029,-1.48667
5.03,-1.48712
5.031,-1.48641
5.032,-1.484134
5.033,-1.483128
5.034,-1.484554
5.034,-1.486132
5.035,-1.486275
5.036,-1.485995
5.037,-1.485855
5.038,-1.486271
5.039,-1.486873
5.039,-1.486855
5.04,-1.485225
5.041,-1.484259
5.042,-1.483262
5.043,-1.483596
5.044,-1.48493
5.044,-1.484422
5.045,-1.485638
5.046,-1.486311
5.047,-1.486437
5.048,-1.487481
5.048,-1.487582
5.049,-1.486231
5.05,-1.487819
5.051,-1.488029
5.052,-1.488156
5.053,-1.489872
5.053,-1.489643
5.054,-1.488714
5.055,-1.487115
5.056,-1.488642
5.057,-1.490334
5.058,-1.490793
5.058,-1.490986
5.059,-1.49206
5.06,-1.49365
5.061,-1.494703
5.062,-1.494175
5.063,-1.495232
5.063,-1.495692
5.064,-1.496716
5.065,-1.498299
5.066,-1.49826
5.067,-1.49878
5.068,-1.499577
5.068,-1.499456
5.069,-1.501209
5.07,-1.502846
5.071,-1.501032
5.072,-1.500703
5.073,-1.501005
5.073,-1.499803
5.074,-1.499143
5.075,-1.500247
5.076,-1.502421
5.077,-1.500618
5.078,-1.499843
5.078,-1.500042
5.079,-1.499043
5.08,-1.497772
5.081,-1.496771
5.082,-1.495856
5.083,-1.497255
5.083,-1.497607
5.084,-1.497458
5.085,-1.497134
5.086,-1.497327
5.087,-1.496639
5.088,-1.495033
5.088,-1.494505
5.089,-1.495181
5.09,-1.495323
5.091,-1.49535
5.092,-1.496503
5.093,-1.496186
5.093,-1.494647
5.094,-1.496386
5.095,-1.497522
5.096,-1.497683
5.097,-1.495191
5.098,-1.496318
5.098,-1.497094
5.099,-1.496243
5.1,-1.496566
5.101,-1.49654
5.102,-1.495485
5.103,-1.496098
5.103,-1.494271
5.104,-1.493115
5.105,-1.491433
5.106,-1.488689
5.107,-1.486185
5.108,-1.486774
5.108,-1.489018
5.109,-1.489247
5.11,-1.489332
5.111,-1.490905
5.112,-1.490271
5.113,-1.489742
5.113,-1.490589
5.114,-1.492097
5.115,-1.490517
5.116,-1.489473
5.117,-1.487992
5.118,-1.488741
5.118,-1.488451
5.119,-1.487431
5.12,-1.487961
5.121,-1.48802
5.122,-1.487615
5.123,-1.488096
5.123,-1.487678
5.124,-1.487705
5.125,-1.487357
5.126,-1.488958
5.127,-1.490588
5.128,-1.491639
5.128,-1.49211
5.129,-1.490224
5.13,-1.49135
5.131,-1.490129
5.132,-1.487119
5.133,-1.487154
5.133,-1.486488
5.134,-1.484622
5.135,-1.483648
5.136,-1.483768
5.137,-1.483996
5.138,-1.483532
5.138,-1.482485
5.139,-1.483977
5.14,-1.484554
5.141,-1.485162
5.142,-1.486382
5.142,-1.486604
5.143,-1.484751
5.144,-1.484624
5.145,-1.485063
5.146,-1.485224
5.147,-1.483194
5.147,-1.483262
5.148,-1.482342
5.149,-1.480861
5.15,-1.480987
5.151,-1.480196
5.152,-1.48087
5.152,-1.48254
5.153,-1.484072
5.154,-1.482648
5.155,-1.484046
5.156,-1.484314
5.157,-1.483368
5.157,-1.482993
5.158,-1.482855
5.159,-1.482228
5.16,-1.47981
5.161,-1.479214
5.162,-1.479091
5.162,-1.480776
5.163,-1.481835
5.164,-1.483033
5.165,-1.484238
5.166,-1.483299
5.167,-1.487064
5.167,-1.488291
5.168,-1.486861
5.169,-1.490183
5.17,-1.489476
5.171,-1.488953
5.172,-1.488025
5.172,-1.486286
5.173,-1.487168
5.174,-1.486612
5.175,-1.48778
5.176,-1.487359
5.177,-1.485953
5.177,-1.485678
5.178,-1.48721
5.179,-1.487819
5.18,-1.489556
5.181,-1.490393
5.182,-1.491599
5.182,-1.490585
5.183,-1.488073
5.184,-1.486327
5.185,-1.487376
5.186,-1.485402
5.187,-1.487496
5.187,-1.482951
5.188,-1.482001
5.189,-1.482046
5.19,-1.481178
5.191,-1.482307
5.192,-1.483899
5.192,-1.484622
5.193,-1.486534
5.194,-1.486596
5.195,-1.485474
5.196,-1.486383
5.197,-1.48571
5.197,-1.487533
5.198,-1.488837
5.199,-1.488468
5.2,-1.48806
5.201,-1.487869
5.202,-1.486623
5.202,-1.486006
5.203,-1.485873
5.204,-1.484746
5.205,-1.485584
5.206,-1.485319
5.207,-1.487234
5.207,-1.48671
5.208,-1.488465
5.209,-1.492663
5.21,-1.49608
5.211,-1.495783
5.212,-1.494747
5.212,-1.494669
5.213,-1.495382
5.214,-1.494566
5.215,-1.494803
5.216,-1.495119
5.217,-1.495852
5.217,-1.497645
5.218,-1.49961
5.219,-1.500187
5.22,-1.500623
5.221,-1.501933
5.222,-1.500651
5.222,-1.5007
5.223,-1.502119
5.224,-1.502123
5.225,-1.503414
5.226,-1.503822
5.227,-1.504041
5.227,-1.502963
5.228,-1.501473
5.229,-1.500516
5.23,-1.49672
5.231,-1.494219
5.232,-1.493527
5.232,-1.495829
5.233,-1.496527
5.234,-1.495514
5.235,-1.494257
5.236,-1.492444
5.236,-1.491872
5.237,-1.491137
5.238,-1.491551
5.239,-1.488873
5.24,-1.487746
5.241,-1.489226
5.241,-1.488531
5.242,-1.490688
5.243,-1.493591
5.244,-1.492428
5.245,-1.491827
5.246,-1.492471
5.246,-1.491857
5.247,-1.491793
5.248,-1.494681
5.249,-1.496102
5.25,-1.495057
5.251,-1.496595
5.251,-1.497992
5.252,-1.498422
5.253,-1.49692
5.254,-1.496889
5.255,-1.496675
5.256,-1.497512
5.256,-1.497726
5.257,-1.499467
5.258,-1.500098
5.259,-1.499092
5.26,-1.498196
5.261,-1.499303
5.261,-1.497136
5.262,-1.496086
5.263,-1.495804
5.264,-1.494041
5.265,-1.493413
5.266,-1.494469
5.266,-1.493679
5.267,-1.492557
5.268,-1.49197
5.269,-1.490075
5.27,-1.489126
5.271,-1.489159
5.271,-1.488764
5.272,-1.487835
5.273,-1.487892
5.274,-1.488265
5.275,-1.489429
5.276,-1.489973
5.276,-1.490455
5.277,-1.489428
5.278,-1.487201
5.279,-1.486167
5.28,-1.486702
5.281,-1.487103
5.281,-1.484941
5.282,-1.485595
5.283,-1.486001
5.284,-1.485701
5.285,-1.485588
5.286,-1.485703
5.286,-1.484585
5.287,-1.484725
5.288,-1.487431
5.289,-1.488228
5.29,-1.488719
5.291,-1.490802
5.291,-1.492125
5.292,-1.491461
5.293,-1.491125
5.294,-1.490862
5.295,-1.491382
5.296,-1.489687
5.296,-1.490487
5.297,-1.489788
5.298,-1.491513
5.299,-1.491022
5.3,-1.490029
5.301,-1.488427
5.301,-1.491014
5.302,-1.491428
5.303,-1.491653
5.304,-1.49212
5.305,-1.492891
5.306,-1.493755
5.306,-1.493774
5.307,-1.49404
5.308,-1.494565
5.309,-1.494364
5.31,-1.4937
5.311,-1.49257
5.311,-1.490881
5.312,-1.490175
5.313,-1.491253
5.314,-1.491867
5.315,-1.493487
5.316,-1.493703
5.316,-1.49231
5.317,-1.491267
5.318,-1.491653
5.319,-1.490956
5.32,-1.491634
5.321,-1.493351
5.321,-1.496285
5.322,-1.495968
5.323,-1.496391
5.324,-1.496219
5.325,-1.495474
5.326,-1.495452
5.326,-1.495431
5.327,-1.495095
5.328,-1.496241
5.329,-1.497157
5.33,-1.495792
5.33,-1.494254
5.331,-1.495412
5.332,-1.496763
5.333,-1.497403
5.334,-1.497662
5.335,-1.497719
5.335,-1.496399
5.336,-1.496475
5.337,-1.497809
5.338,-1.497407
5.339,-1.496451
5.34,-1.49623
5.34,-1.496782
5.341,-1.49729
5.342,-1.494675
5.343,-1.493201
5.344,-1.491974
5.345,-1.492302
5.345,-1.492965
5.346,-1.491375
5.347,-1.489589
5.348,-1.488328
5.349,-1.487033
5.35,-1.485995
5.35,-1.486617
5.351,-1.488337
5.352,-1.489828
5.353,-1.489028
5.354,-1.487908
5.355,-1.488318
5.355,-1.489176
5.356,-1.489209
5.357,-1.490677
5.358,-1.489862
5.359,-1.489056
5.36,-1.489282
5.36,-1.489538
5.361,-1.488322
5.362,-1.487614
5.363,-1.488769
5.364,-1.489247
5.365,-1.48963
5.365,-1.490548
5.366,-1.490399
5.367,-1.490179
5.368,-1.490321
5.369,-1.490165
5.37,-1.490059
5.37,-1.49003
5.371,-1.489533
5.372,-1.488677
5.373,-1.487023
5.374,-1.485541
5.375,-1.485767
5.375,-1.485525
5.376,-1.485106
5.377,-1.485075
5.378,-1.484311
5.379,-1.484717
5.38,-1.486088
5.38,-1.486204
5.381,-1.486677
5.382,-1.488998
5.383,-1.48903
5.384,-1.487757
5.385,-1.48852
5.385,-1.488006
5.386,-1.48604
5.387,-1.486372
5.388,-1.487585
5.389,-1.488669
5.39,-1.489439
5.39,-1.489309
5.391,-1.489675
5.392,-1.489617
5.393,-1.490076
5.394,-1.489197
5.395,-1.489787
5.395,-1.490099
5.396,-1.488667
5.397,-1.487305
5.398,-1.486403
5.399,-1.486179
5.4,-1.485777
5.4,-1.485799
5.401,-1.487654
5.402,-1.488119
5.403,-1.485415
5.404,-1.483849
5.405,-1.484632
5.405,-1.485105
5.406,-1.486989
5.407,-1.488935
5.408,-1.488967
5.409,-1.489447
5.41,-1.488439
5.41,-1.489372
5.411,-1.489951
5.412,-1.490283
5.413,-1.491104
5.414,-1.491052
5.415,-1.491195
5.415,-1.491666
5.416,-1.491149
5.417,-1.491699
5.418,-1.492794
5.419,-1.493303
5.42,-1.492534
